timestamp,GK,team1_name2,team1_name3,score1,GK,S1,S2,score2
2025-11-07T00:16:47.128000+00:00,toph,anon,neptune,5,kami,akil,wraith,3
2025-11-07T00:22:22.260000+00:00,toph,anon,neptune,5,kami,akil,kaif,1
2025-11-07T04:11:24.928000+00:00,toph,kaif,saber,5,shan,danny,rxob,3
2025-11-07T20:59:50.488000+00:00,kami,jinsye,neptune,0,shan,bapsy,gentle,5
2025-11-07T21:05:45.155000+00:00,kami,bapsy,jinsye,4,shan,gentle,neptune,5
2025-11-07T21:13:14.480000+00:00,kami,bapsy,jinsye,4,gentle,wraith,lala,5
2025-11-07T21:23:40.351000+00:00,bapsy,jinsye,neptune,5,gentle,toph,lala,4
2025-11-07T21:30:21.852000+00:00,gentle,kami,neptune,5,toph,wraith,jinsye,2
2025-11-07T21:34:28.230000+00:00,gentle,kami,bapsy,2,toph,wraith,jinsye,5
2025-11-07T21:47:37.401000+00:00,kami,wraith,toph,5,gentle,jinsye,lala,1
2025-11-07T21:51:35.983000+00:00,kami,gentle,jinsye,0,toph,wraith,lala,5
2025-11-07T21:59:23.370000+00:00,kami,gentle,jinsye,5,toph,wraith,lala,4
2025-11-13T01:19:35.451000+00:00,kami,popop,ema,1,pike,ella,rxob,5
2025-11-14T17:28:50.210000+00:00,kami,bapsy,ash,5,gentle,popop,nae,4
2025-11-14T17:36:18.939000+00:00,shan,bapsy,kami,3,gentle,eri,popop,5
2025-11-14T17:44:14.476000+00:00,shan,bapsy,gae,3,gentle,eri,ash,5
2025-11-14T17:52:27.665000+00:00,kami,bapsy,nae,5,gentle,popop,ash,4
2025-11-14T23:54:18.676000+00:00,kami,hawk,mai,1,jib,jinsye,akil,5
2025-11-16T04:04:01.114000+00:00,jib,ema,akil,2,gentle,kaif,neptune,2
2025-11-17T19:45:51.302000+00:00,kami,gentle,popop,2,pike,ash,eri,5
2025-11-17T19:53:22.680000+00:00,kami,gentle,popop,5,pike,ash,hawk,4
2025-11-17T19:59:46.134000+00:00,kami,gentle,neptune,5,pike,ash,hawk,3
2025-11-17T20:04:42.532000+00:00,kami,gentle,neptune,5,pike,popop,hawk,1
2025-11-17T20:10:07.985000+00:00,neptune,popop,gentle,2,shan,pikeman,hawk,5
2025-11-17T20:17:34.734000+00:00,ash,kami,gentle,2,shan,hawk,popop,5
2025-11-17T20:20:49.201000+00:00,gentle,ash,pike,5,shan,popop,nep,0
2025-11-17T20:24:38.947000+00:00,shan,kami,neptune,5,gentle,ash,pike,1
2025-11-17T20:30:10.766000+00:00,gentle,pike,kami,5,ad,astera,per,4
2025-11-17T20:37:14.350000+00:00,gentle,pike,ash,5,ad,astera,per,4
2025-11-17T20:43:09.292000+00:00,gentle,pike,wraith,5,shan,kami,neptune,3
2025-11-17T20:48:19.066000+00:00,gentle,pike,hawk,5,shan,kami,neptune,2
2025-11-20T19:00:53.712000+00:00,kami,kaif,hawk,5,eri,E,pikeman,1
